e3ligase,substrate
TRIM41,PRKCB;PRKCE
RNF135,DDX58
RNF6,AR;LIMK1;LIMS1
LRSAM1,TSG101
HLTF,PCNA
KLHL8,RAPSN
RNF128,CD40LG;ARHGDIB;CD83;ARHGDIA;CORO1A;ARPC5
CBLC,SRC;EGFR
RNF167,SLC22A18
ANAPC11,PTTG1;CCNB1;ANLN;GMNN
SOCS1,JAK2;IRS1;RELA;LYN;IRS2;VAV1
DDB2,XPC;H2AC1;H2AC17;DDB2
TRPC4AP,MYC
NEURL2,CTNNB1
HECTD3,STX8;TRIOBP;MALT1;CASP9;RAF1;CASP8
HECW1,DVL1
MARCHF2,TFRC;CD86;DLG1;CFTR
MALT1,IKBKG
MARCHF4,CD4;HLA-DRB1
MARCHF9,PVR;VAMP8;PLXNC1;CEMIP2;FCRLB;LILRB1;PTPRJ;CD4;PTPRF;SLAMF1;HLA-DQA1;HLA-DQB1;PTPRA;FCGR2B;ICAM1;IGHD;FCRL2
MARCHF1,CD4;TFRC;CD86;HLA-DRA;HLA-DRB5;FASN;HLA-DRB1;HLA-DRB4;CIITA;HLA-DRB3
NEURL1B,DLL4;DLL3;DLL1;EDAR
PAXIP1,PCNA
GAN,MAP1B;MAP1S;TBCB;ATG16L1;GFAP
KLHL17,GRIK2
BRAP,CDC14A;BRAP;USP15
DET1,ACACA;TP53;FOXO1;JUN;ACACB;MTA1;CRTC2
PDLIM2,STAT1;RELA
RNF144B,LCMT2;CDKN1A;BAX;NPM1
CDCA3,WEE1;CDKN1A
E4F1,TP53
TOM1,NAB2;CDC6
TRIM31,TRIM31
RC3H1,ICOS
RFWD3,TP53
PRC1,H2AC8;H2AC12;H2AC1;H2AX;H2AZ1;H2AC19;RNF2
RNF182,ATP6V0C
ASB3,TNFRSF1B
IRAK4,PELI1
TRIM17,IRF3;TRIM17;MCL1
TRIM23,TRAF6;IKBKG
RNF216,RNF216;RIPK1;TLR4;TLR9;TRAF3;TLR8
MKRN1,FILIP1;POLG;CDKN1A;TP53;TERT;CDKN2A;PABPC1;RPS10
SOCS5,EGFR
HERC5,NME2
LHX1,LIMK1
PEX12,PEX5
IRAK1,PELI1
TRIM37,TRIM37
UBR1,RHO
ARIH2,GFI1;NFKBIB;APOBEC3G
TRIM56,STING1
PIAS4,ETS1;YY1
CCNB1IP1,CCNB1IP1;CCNB1
CISH,BCL2L11
FBXW2,GCM1;CCNE2;CCNE1;MSX2
